treatment,outcome,subgroup,subgroup_variable,subgroup_level,treatment_descr,outcome_descr,subgroup_descr,subgroup_variable_descr,fup_period,n_0,n_1,yearsatrisk_0,yearsatrisk_1,events_0,events_1,rate_0,rate_1,rr,rrE,rrCI,q_0,q_1
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,673799,732326,18493.0212183436,21120.958247775496,58,NA,NA,NA,NA,NA,NA,"58 / 18,493","-- / 21,121"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,313528,381957,8784.709103353867,10876.443531827515,47,6,0.0053502056183119505,5.516509125839087e-4,0.10310835731168791,0.1,(0.04-0.24),"47 /  8,785","6 / 10,876"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,152566,189893,4344.249144421629,5421.201916495551,39,NA,NA,NA,NA,NA,NA,"39 /  4,344","-- /  5,421"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,56-69,73763,91552,1900.517453798768,2377.492128678987,13,NA,NA,NA,NA,NA,NA,"13 /  1,901","-- /  2,377"
pfizer,coviddeath,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,BNT162b2,COVID-19 death,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,All,1541333,1541333,74827.45790554414,82238.10266940451,175,18,0.002338713687439512,2.1887664495811183e-4,0.09358847392634195,0.09,(0.05-0.15),"175 / 74,827","18 / 82,238"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,0-6,2548912,2548912,39662.759753593426,41043.1266255989,7,NA,NA,NA,NA,NA,NA,"7 / 39,663","-- / 41,043"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,7-13,1505912,1648431,23414.23682409309,26628.84873374401,19,NA,NA,NA,NA,NA,NA,"19 / 23,414","-- / 26,629"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,14-27,888428,1075672,22074.302532511978,28857.998631074606,67,18,0.0030352034861042395,6.237438787808869e-4,0.20550315049271306,0.21,(0.11-0.35),"67 / 22,074","18 / 28,858"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,28-41,320236,461838,8192.566735112936,12083.09377138946,72,7,0.008788454501250697,5.793218303556256e-4,0.0659185105041144,0.07,(0.03-0.14),"72 /  8,193","7 / 12,083"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,42-55,119229,173895,2926.220396988364,4174.231348391512,18,0,0.00615127965703657,0,0,0,(NA-0.16),"18 /  2,926","0 /  4,174"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,56-69,37018,50254,759.0746064339494,1022.4421629021218,6,NA,NA,NA,NA,NA,NA,6 /    759,"-- /  1,022"
pfizer,coviddeath,vax12_type-az-az,vax12_type,az-az,BNT162b2,COVID-19 death,Primary vaccine course: ChAdOx1-ChAdOx1,Primary vaccine course,All,2548912,2548912,97029.16084873375,113809.74127310062,189,34,0.0019478680259293049,2.9874419904367215e-4,0.15336983567002432,0.15,(0.10-0.22),"189 / 97,029","34 /113,810"
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,0-6,211899,211899,3009.6892539356604,3302.5023956194386,528,450,0.17543339376633443,0.13626030993857768,0.7767068003031813,0.78,(0.68-0.88),"528 /  3,010","450 /  3,303"
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,7-13,108797,138982,1684.684462696783,2381.308692676249,436,232,0.2588021731393348,0.09742542019584421,0.3764474579716608,0.38,(0.32-0.44),"436 /  1,685","232 /  2,381"
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,14-27,62554,103606,1334.1054072553045,2727.6030116358656,411,135,0.30807160945817824,0.049494006064700176,0.16065747230570154,0.16,(0.13-0.20),"411 /  1,334","135 /  2,728"
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,28-41,11900,36181,152.71184120465435,575.7426420260095,54,NA,NA,NA,0.19156455899524996,0.19,(0.12-0.29),54 /    153,-- /    576
moderna,postest,vax12_type-pfizer-pfizer,vax12_type,pfizer-pfizer,mRNA-1273,Positive SARS-CoV-2 test,Primary vaccine course: BNT162b2-BNT162b2,Primary vaccine course,42-55,225,1474,1.4811772758384667,9.240246406570842,0,NA,NA,NA,Inf,Inf,(0.00-NA),0 /      1,-- /      9
